Project Nick,Project,BioSample_s,SRA_Sample_s,Run_s,LibrarySource_s,LibraryLayout_s,InsertSize_l,MBases_l,Sample_Name_s,Library_Name_s,cultivar_s,ReadGroup,,Leafly Name,Leafly URL,TEMP Sortable
Phylos 2018,SRP173788,SAMN10608944,SRS4167503,SRR8347042,GENOMIC,PAIRED,0,297,Sour_Diesel__PGT-102325,PGT-102325,PGT-102325,1,,Sour Diesel,https://www.leafly.com/sativa/sour-diesel,Sour Diesel
Phylos 2018,SRP173788,SAMN10608945,SRS4167504,SRR8347041,GENOMIC,PAIRED,0,339,Grape_Drank__PGT-102326,PGT-102326,PGT-102326,1,,Grape Drink,https://www.leafly.com/indica/grape-drink,Grape Drink
Phylos 2018,SRP173788,SAMN10608946,SRS4167637,SRR8346908,GENOMIC,PAIRED,0,253,Udikki_Kerela__PGT-102328,PGT-102328,PGT-102328,1,,Kerala,https://www.leafly.com/sativa/kerala,Kerala
Phylos 2018,SRP173788,SAMN10608947,SRS4167506,SRR8347039,GENOMIC,PAIRED,0,281,Cherry_Wine__PGT-102329,PGT-102329,PGT-102329,1,,Cherry Wine,https://www.leafly.com/hybrid/cherry-wine,Cherry Wine
Phylos 2018,SRP173788,SAMN10608948,SRS4167507,SRR8347038,GENOMIC,PAIRED,0,277,Guava_Jelly__PGT-102330,PGT-102330,PGT-102330,1,,,,Guava_Jelly__PGT-102330
Phylos 2018,SRP173788,SAMN10608949,SRS4167211,SRR8346662,GENOMIC,PAIRED,0,219,Starduster__PGT-102331,PGT-102331,PGT-102331,1,,Starduster,https://cannasos.com/strains/hybrid/starduster,Starduster
Phylos 2018,SRP173788,SAMN10608950,SRS4167212,SRR8346661,GENOMIC,PAIRED,0,216,Dosiface__PGT-102332,PGT-102332,PGT-102332,1,,,,Dosiface__PGT-102332
Phylos 2018,SRP173788,SAMN10608951,SRS4167209,SRR8346664,GENOMIC,PAIRED,0,237,Tony_Clifton__PGT-102333,PGT-102333,PGT-102333,1,,Tony Clifton,https://cannasos.com/strains/hybrid/tony-clifton,Tony Clifton
Phylos 2018,SRP173788,SAMN10608952,SRS4167210,SRR8346663,GENOMIC,PAIRED,0,289,Orange_Sherbet__PGT-102334,PGT-102334,PGT-102334,1,,Orange Sherbet,https://cannasos.com/strains/hybrid/orange-sherbet,Orange Sherbet
Phylos 2018,SRP173788,SAMN10608953,SRS4167215,SRR8346658,GENOMIC,PAIRED,0,269,Lemon_Chiffon__PGT-102335,PGT-102335,PGT-102335,1,,,,Lemon_Chiffon__PGT-102335
Phylos 2018,SRP173788,SAMN10608954,SRS4167216,SRR8346657,GENOMIC,PAIRED,0,252,AC-DC__PGT-102336,PGT-102336,PGT-102336,1,,ACDC,https://www.leafly.com/hybrid/acdc,ACDC
Phylos 2018,SRP173788,SAMN10608955,SRS4167213,SRR8346660,GENOMIC,PAIRED,0,352,Tora_Bora_PakxAF__PGT-102337,PGT-102337,PGT-102337,1,,,,Tora_Bora_PakxAF__PGT-102337
Phylos 2018,SRP173788,SAMN10608956,SRS4167214,SRR8346659,GENOMIC,PAIRED,0,296,Sweet_Relief_OG__PGT-102338,PGT-102338,PGT-102338,1,,Sweet Relief OG,https://cannasos.com/strains/hybrid/sweet-relief-og,Sweet Relief OG
Phylos 2018,SRP173788,SAMN10608957,SRS4167207,SRR8346666,GENOMIC,PAIRED,0,315,One_Star__PGT-102339,PGT-102339,PGT-102339,1,,,,One_Star__PGT-102339
Phylos 2018,SRP173788,SAMN10608958,SRS4167208,SRR8346665,GENOMIC,PAIRED,0,348,Hash_Plant_Haze__PGT-102340,PGT-102340,PGT-102340,1,,Hashplant Haze,https://www.leafly.com/sativa/hashplant-haze,Hashplant Haze
Phylos 2018,SRP173788,SAMN10608959,SRS4167476,SRR8346398,GENOMIC,PAIRED,0,260,Matanauska_Thunder_Fuck_MTF__PGT-102341,PGT-102341,PGT-102341,1,,Matanauska Thunder Fuck,https://www.leafly.com/sativa/matanuska-thunder-fuck,Matanauska Thunder Fuck
Phylos 2018,SRP173788,SAMN10608960,SRS4167474,SRR8346399,GENOMIC,PAIRED,0,205,Ringo__PGT-102342,PGT-102342,PGT-102342,1,,OG Ringo,https://www.leafly.com/hybrid/og-ringo,OG Ringo
Phylos 2018,SRP173788,SAMN10608961,SRS4167473,SRR8346400,GENOMIC,PAIRED,0,229,Pink_Snowball__PGT-102343,PGT-102343,PGT-102343,1,,,,Pink_Snowball__PGT-102343
Phylos 2018,SRP173788,SAMN10608962,SRS4167472,SRR8346401,GENOMIC,PAIRED,0,250,Alaskan_Fireweed__PGT-102344,PGT-102344,PGT-102344,1,,,,Alaskan_Fireweed__PGT-102344
Phylos 2018,SRP173788,SAMN10608963,SRS4167471,SRR8346402,GENOMIC,PAIRED,0,233,Albert_Walker__PGT-102345,PGT-102345,PGT-102345,1,,Albert Walker,https://www.leafly.com/hybrid/albert-walker,Albert Walker
Phylos 2018,SRP173788,SAMN10608964,SRS4167470,SRR8346403,GENOMIC,PAIRED,0,208,Ethos_Mandarin_Temple_F1__PGT-102346,PGT-102346,PGT-102346,1,,,,Ethos_Mandarin_Temple_F1__PGT-102346
Phylos 2018,SRP173788,SAMN10608965,SRS4167469,SRR8346404,GENOMIC,PAIRED,0,242,Ethos_Temple_Kush_F1_m_A-line__PGT-102347,PGT-102347,PGT-102347,1,,Temple Kush,https://cannasos.com/strains/indica/temple-kush,Temple Kush
Phylos 2018,SRP173788,SAMN10608966,SRS4167468,SRR8346405,GENOMIC,PAIRED,0,255,A5_Haze__PGT-102348,PGT-102348,PGT-102348,1,,,,A5_Haze__PGT-102348
Phylos 2018,SRP173788,SAMN10608967,SRS4167479,SRR8346394,GENOMIC,PAIRED,0,97,Cookie_Monster__PGT-102350,PGT-102350,PGT-102350,1,,Cookie Monster,https://www.leafly.com/indica/cookie-monster,Cookie Monster
Phylos 2018,SRP173788,SAMN10608968,SRS4167477,SRR8346395,GENOMIC,PAIRED,0,187,Purple_Panty_Dropper__PGT-102351,PGT-102351,PGT-102351,1,,Purple Panty Dropper,https://www.leafly.com/indica/purple-panty-dropper,Purple Panty Dropper
Phylos 2018,SRP173788,SAMN10608969,SRS4167746,SRR8346799,GENOMIC,PAIRED,0,275,Lemon_SK_88xSK1__PGT-102352,PGT-102352,PGT-102352,1,,,,Lemon_SK_88xSK1__PGT-102352
Phylos 2018,SRP173788,SAMN10608970,SRS4167747,SRR8346798,GENOMIC,PAIRED,0,246,Purple_Punch__PGT-102353,PGT-102353,PGT-102353,1,,Purple Punch,https://www.leafly.com/indica/purple-punch,Purple Punch
Phylos 2018,SRP173788,SAMN10608971,SRS4167748,SRR8346797,GENOMIC,PAIRED,0,231,Gnome_Walker__PGT-102354,PGT-102354,PGT-102354,1,,Gnome Walker,https://www.leafly.com/hybrid/gnome-walker,Gnome Walker
Phylos 2018,SRP173788,SAMN10608972,SRS4167749,SRR8346796,GENOMIC,PAIRED,0,233,Recon__PGT-102355,PGT-102355,PGT-102355,1,,Recon,https://www.leafly.com/indica/recon,Recon
Phylos 2018,SRP173788,SAMN10608973,SRS4167750,SRR8346795,GENOMIC,PAIRED,0,202,Durban__PGT-102356,PGT-102356,PGT-102356,1,,Durban Poison,https://www.leafly.com/sativa/durban-poison,Durban Poison
Phylos 2018,SRP173788,SAMN10608974,SRS4167751,SRR8346794,GENOMIC,PAIRED,0,188,Platinum_Animal_Cookies__PGT-102357,PGT-102357,PGT-102357,1,,Animal Cookies,https://www.leafly.com/hybrid/animal-cookies,Animal Cookies
Phylos 2018,SRP173788,SAMN10608975,SRS4167753,SRR8346793,GENOMIC,PAIRED,0,166,CBDiesel__PGT-102358,PGT-102358,PGT-102358,1,,CB Diesel,https://cannasos.com/strains/hybrid/cb-diesel,CB Diesel
Phylos 2018,SRP173788,SAMN10608976,SRS4167752,SRR8346792,GENOMIC,PAIRED,0,135,Animal_OG__PGT-102359,PGT-102359,PGT-102359,1,,,,Animal_OG__PGT-102359
Phylos 2018,SRP173788,SAMN10608977,SRS4167754,SRR8346791,GENOMIC,PAIRED,0,144,Bubblelicious_Nirvana__PGT-102360,PGT-102360,PGT-102360,1,,Bubblicious,https://www.leafly.com/hybrid/bubblicious,Bubblicious
Phylos 2018,SRP173788,SAMN10608978,SRS4167755,SRR8346790,GENOMIC,PAIRED,0,285,MK_Ultra__PGT-102362,PGT-102362,PGT-102362,1,,MK Ultra,https://www.leafly.com/indica/mk-ultra,MK Ultra
Phylos 2018,SRP173788,SAMN10608979,SRS4167772,SRR8346773,GENOMIC,PAIRED,0,276,Khalifa_Kush__PGT-102363,PGT-102363,PGT-102363,1,,Khalifa Kush,https://www.leafly.com/hybrid/khalifa-kush,Khalifa Kush
Phylos 2018,SRP173788,SAMN10608980,SRS4167771,SRR8346774,GENOMIC,PAIRED,0,262,Electric_Lady__PGT-102364,PGT-102364,PGT-102364,1,,,,Electric_Lady__PGT-102364
Phylos 2018,SRP173788,SAMN10608981,SRS4167774,SRR8346771,GENOMIC,PAIRED,0,260,Critical_Cure__PGT-102370,PGT-102370,PGT-102370,1,,CBD Critical Cure,https://www.leafly.com/indica/cbd-critical-cure,CBD Critical Cure
Phylos 2018,SRP173788,SAMN10608982,SRS4167773,SRR8346772,GENOMIC,PAIRED,0,333,Cinex__PGT-102371,PGT-102371,PGT-102371,1,,Cinex,https://www.leafly.com/sativa/cinex,Cinex
Phylos 2018,SRP173788,SAMN10608983,SRS4167768,SRR8346777,GENOMIC,PAIRED,0,125,Adonis__PGT-104963,PGT-104963,PGT-104963,1,,Adonis,https://cannasos.com/strains/hybrid/adonis,Adonis
Phylos 2018,SRP173788,SAMN10608984,SRS4167767,SRR8346778,GENOMIC,PAIRED,0,111,Sage_n_Sour__PGT-104964,PGT-104964,PGT-104964,1,,Sage N Sour,https://www.leafly.com/sativa/sage-n-sour,Sage N Sour
Phylos 2018,SRP173788,SAMN10608985,SRS4167770,SRR8346775,GENOMIC,PAIRED,0,139,Durango_Lemon_Purp__PGT-104965,PGT-104965,PGT-104965,1,,Durango Lemon Purp,,Durango Lemon Purp
Phylos 2018,SRP173788,SAMN10608986,SRS4167769,SRR8346776,GENOMIC,PAIRED,0,125,Fruitloopz__PGT-104966,PGT-104966,PGT-104966,1,,Fruit Loops,https://www.leafly.com/hybrid/fruit-loops,Fruit Loops
Phylos 2018,SRP173788,SAMN10608987,SRS4167776,SRR8346768,GENOMIC,PAIRED,0,145,Super_Fruit__PGT-104967,PGT-104967,PGT-104967,1,,,,Super_Fruit__PGT-104967
Phylos 2018,SRP173788,SAMN10608988,SRS4167777,SRR8346769,GENOMIC,PAIRED,0,173,Panama_Red__PGT-104968,PGT-104968,PGT-104968,1,,Panama Red,https://www.leafly.com/sativa/panama-red,Panama Red
Phylos 2018,SRP173788,SAMN10608989,SRS4168035,SRR8347097,GENOMIC,PAIRED,0,137,Panama_Red__PGT-104970,PGT-104970,PGT-104970,1,,Panama Red,https://www.leafly.com/sativa/panama-red,Panama Red
Phylos 2018,SRP173788,SAMN10608990,SRS4168036,SRR8347096,GENOMIC,PAIRED,0,127,Panama_Red__PGT-104971,PGT-104971,PGT-104971,1,,Panama Red,https://www.leafly.com/sativa/panama-red,Panama Red
Phylos 2018,SRP173788,SAMN10608991,SRS4168034,SRR8347099,GENOMIC,PAIRED,0,114,Agent_Orange__PGT-104972,PGT-104972,PGT-104972,1,,Agent Orange,https://www.leafly.com/hybrid/agent-orange,Agent Orange
Phylos 2018,SRP173788,SAMN10608992,SRS4168032,SRR8347098,GENOMIC,PAIRED,0,79,Chernobyl__PGT-104973,PGT-104973,PGT-104973,1,,Chernobyl,https://www.leafly.com/hybrid/chernobyl,Chernobyl
Phylos 2018,SRP173788,SAMN10608993,SRS4168031,SRR8347101,GENOMIC,PAIRED,0,94,Ripped_Bubba__PGT-104974,PGT-104974,PGT-104974,1,,Ripped Bubba,https://www.leafly.com/hybrid/ripped-bubba,Ripped Bubba
Phylos 2018,SRP173788,SAMN10608994,SRS4168033,SRR8347100,GENOMIC,PAIRED,0,75,Cave_Skunk__PGT-104975,PGT-104975,PGT-104975,1,,,,Cave_Skunk__PGT-104975
Phylos 2018,SRP173788,SAMN10608995,SRS4168029,SRR8347103,GENOMIC,PAIRED,0,110,Mango__PGT-104976,PGT-104976,PGT-104976,1,,Mango,https://www.leafly.com/indica/mango,Mango
Phylos 2018,SRP173788,SAMN10608996,SRS4168030,SRR8347102,GENOMIC,PAIRED,0,146,Brothers_Keeper__PGT-104977,PGT-104977,PGT-104977,1,,,,Brothers_Keeper__PGT-104977
Phylos 2018,SRP173788,SAMN10608997,SRS4168037,SRR8347095,GENOMIC,PAIRED,0,137,Jacks_Cleaner__PGT-104978,PGT-104978,PGT-104978,1,,Jack's Cleaner,https://www.leafly.com/sativa/jacks-cleaner,Jack's Cleaner
Phylos 2018,SRP173788,SAMN10608998,SRS4168038,SRR8347094,GENOMIC,PAIRED,0,123,TimeWreck__PGT-104980,PGT-104980,PGT-104980,1,,Timewreck,https://www.leafly.com/sativa/timewreck,Timewreck
Phylos 2018,SRP173788,SAMN10608999,SRS4167369,SRR8346504,GENOMIC,PAIRED,0,132,Orange_Velvet__PGT-104981,PGT-104981,PGT-104981,1,,Orange Velvet,https://www.leafly.com/hybrid/orange-velvet,Orange Velvet
Phylos 2018,SRP173788,SAMN10609000,SRS4167368,SRR8346505,GENOMIC,PAIRED,0,153,SGT._Pepper__PGT-104982,PGT-104982,PGT-104982,1,,,,SGT._Pepper__PGT-104982
Phylos 2018,SRP173788,SAMN10609001,SRS4167367,SRR8346506,GENOMIC,PAIRED,0,191,Berry_Manilow__PGT-104983,PGT-104983,PGT-104983,1,,-,-,-
Phylos 2018,SRP173788,SAMN10609002,SRS4167366,SRR8346507,GENOMIC,PAIRED,0,189,SFV__PGT-104984,PGT-104984,PGT-104984,1,,SFV OG,https://www.leafly.com/hybrid/sfv-og,SFV OG
Phylos 2018,SRP173788,SAMN10609003,SRS4167374,SRR8346500,GENOMIC,PAIRED,0,220,Royal_Treat__PGT-104985,PGT-104985,PGT-104985,1,,Royal Treat,,Royal_Treat__PGT-104985
Phylos 2018,SRP173788,SAMN10609004,SRS4167371,SRR8346501,GENOMIC,PAIRED,0,107,Fruit_Punch__PGT-105017,PGT-105017,PGT-105017,1,,Fruit Punch,https://www.leafly.com/sativa/fruit-punch,Fruit Punch
Phylos 2018,SRP173788,SAMN10609005,SRS4167372,SRR8346502,GENOMIC,PAIRED,0,105,Salmon_River__PGT-105018,PGT-105018,PGT-105018,1,,Salmon River OG,https://www.leafly.com/indica/salmon-river-og,Salmon River OG
Phylos 2018,SRP173788,SAMN10609006,SRS4167370,SRR8346503,GENOMIC,PAIRED,0,100,Chernobyl__PGT-105019,PGT-105019,PGT-105019,1,,Chernobyl,https://www.leafly.com/hybrid/chernobyl,Chernobyl
Phylos 2018,SRP173788,SAMN10609007,SRS4167375,SRR8346498,GENOMIC,PAIRED,0,147,Pineapple_Kush__PGT-105020,PGT-105020,PGT-105020,1,,Pineapple Kush,https://www.leafly.com/hybrid/pineapple-kush,Pineapple Kush
Phylos 2018,SRP173788,SAMN10609008,SRS4167373,SRR8346499,GENOMIC,PAIRED,0,129,Deathstar__PGT-105021,PGT-105021,PGT-105021,1,,Death Star,https://www.leafly.com/indica/death-star,Death Star
Phylos 2018,SRP173788,SAMN10609009,SRS4167624,SRR8346921,GENOMIC,PAIRED,0,146,Black_Cherry_Soda__PGT-105022,PGT-105022,PGT-105022,1,,Black Cherry Soda,https://www.leafly.com/hybrid/black-cherry-soda,Black Cherry Soda
Phylos 2018,SRP173788,SAMN10609010,SRS4167625,SRR8346920,GENOMIC,PAIRED,0,172,Cheesequake__PGT-105023,PGT-105023,PGT-105023,1,,Cheese Quake,https://www.leafly.com/hybrid/cheese-quake,Cheese Quake
Phylos 2018,SRP173788,SAMN10609011,SRS4167626,SRR8346919,GENOMIC,PAIRED,0,165,Oregon_Diesel__PGT-105024,PGT-105024,PGT-105024,1,,Oregon Diesel,https://www.leafly.com/indica/oregon-diesel,Oregon Diesel
Phylos 2018,SRP173788,SAMN10609012,SRS4167627,SRR8346918,GENOMIC,PAIRED,0,156,Super_Widow__PGT-105025,PGT-105025,PGT-105025,1,,Super Sour Widow,https://www.leafly.com/hybrid/super-sour-widow,Super_Widow__PGT-105025
Phylos 2018,SRP173788,SAMN10609013,SRS4167620,SRR8346925,GENOMIC,PAIRED,0,151,Mt._Hood_Magic__PGT-105026,PGT-105026,PGT-105026,1,,Mt. Hood Magic,https://www.leafly.com/hybrid/mt-hood-magic,Mt._Hood_Magic__PGT-105026
Phylos 2018,SRP173788,SAMN10609014,SRS4167621,SRR8346924,GENOMIC,PAIRED,0,176,Space_Candy__PGT-105027,PGT-105027,PGT-105027,1,,Space Candy,https://www.leafly.com/hybrid/space-candy,Space Candy
Phylos 2018,SRP173788,SAMN10609015,SRS4167622,SRR8346923,GENOMIC,PAIRED,0,178,Skywalker__PGT-105028,PGT-105028,PGT-105028,1,,Skywalker,https://cannasos.com/strains/hybrid/skywalker,Skywalker
Phylos 2018,SRP173788,SAMN10609016,SRS4167623,SRR8346922,GENOMIC,PAIRED,0,178,?__PGT-105029,PGT-105029,PGT-105029,1,,-,-,-
Phylos 2018,SRP173788,SAMN10609017,SRS4167617,SRR8346928,GENOMIC,PAIRED,0,157,?__PGT-105030,PGT-105030,PGT-105030,1,,-,-,-
Phylos 2018,SRP173788,SAMN10609018,SRS4167574,SRR8346971,GENOMIC,PAIRED,0,137,Electric_Lemon_G__PGT-105032,PGT-105032,PGT-105032,1,,Electric Lemon G,https://www.leafly.com/sativa/electric-lemon-g,Electric Lemon G
Phylos 2018,SRP173788,SAMN10609019,SRS4167651,SRR8346894,GENOMIC,PAIRED,0,170,Mk-Ultra_Thseeds_Colorado__PGT-105033,PGT-105033,PGT-105033,1,,MK Ultra,https://www.leafly.com/indica/mk-ultra,MK Ultra
Phylos 2018,SRP173788,SAMN10609020,SRS4167650,SRR8346895,GENOMIC,PAIRED,0,181,Burmese_Kush__PGT-105034,PGT-105034,PGT-105034,1,,Burmese Kush,https://www.leafly.com/hybrid/burmese-kush,Burmese Kush
Phylos 2018,SRP173788,SAMN10609021,SRS4167653,SRR8346892,GENOMIC,PAIRED,0,175,Golden_Pineapple__PGT-105036,PGT-105036,PGT-105036,1,,Golden Pineapple,https://www.leafly.com/hybrid/golden-pineapple,Golden Pineapple
Phylos 2018,SRP173788,SAMN10609022,SRS4167652,SRR8346893,GENOMIC,PAIRED,0,178,Dog_Walker_4__PGT-105037,PGT-105037,PGT-105037,1,,Dogwalker OG,https://www.leafly.com/hybrid/dogwalker-og,Dogwalker OG
Phylos 2018,SRP173788,SAMN10609023,SRS4167655,SRR8346890,GENOMIC,PAIRED,0,103,Stinger-Missile_SBG__PGT-105038,PGT-105038,PGT-105038,1,,,,Stinger-Missile_SBG__PGT-105038
Phylos 2018,SRP173788,SAMN10609024,SRS4167654,SRR8346891,GENOMIC,PAIRED,0,105,Power-Up_SBG__PGT-105039,PGT-105039,PGT-105039,1,,,,Power-Up_SBG__PGT-105039
Phylos 2018,SRP173788,SAMN10609025,SRS4167657,SRR8346888,GENOMIC,PAIRED,0,119,Pablo-Escobar_SBG__PGT-105040,PGT-105040,PGT-105040,1,,Pablo Escobar,https://cannasos.com/strains/hybrid/pablo-escobar,Pablo-Escobar_SBG__PGT-105040
Phylos 2018,SRP173788,SAMN10609026,SRS4167656,SRR8346889,GENOMIC,PAIRED,0,129,Ahmad-Shah-Massoud_SBG__PGT-105041,PGT-105041,PGT-105041,1,,,,Ahmad-Shah-Massoud_SBG__PGT-105041
Phylos 2018,SRP173788,SAMN10609027,SRS4167659,SRR8346886,GENOMIC,PAIRED,0,123,Stay-Frostie_SBG__PGT-105042,PGT-105042,PGT-105042,1,,,,Stay-Frostie_SBG__PGT-105042
Phylos 2018,SRP173788,SAMN10609028,SRS4167658,SRR8346887,GENOMIC,PAIRED,0,155,Latin-Star_SBG__PGT-105043,PGT-105043,PGT-105043,1,,,,Latin-Star_SBG__PGT-105043
Phylos 2018,SRP173788,SAMN10609029,SRS4167912,SRR8347220,GENOMIC,PAIRED,0,154,Silver-Jelly_SBG__PGT-105044,PGT-105044,PGT-105044,1,,,,Silver-Jelly_SBG__PGT-105044
Phylos 2018,SRP173788,SAMN10609030,SRS4167913,SRR8347219,GENOMIC,PAIRED,0,213,Vertigo_SBG__PGT-105045,PGT-105045,PGT-105045,1,,Vertigo,https://cannasos.com/strains/hybrid/vertigo,Vertigo_SBG__PGT-105045
Phylos 2018,SRP173788,SAMN10609031,SRS4167910,SRR8347222,GENOMIC,PAIRED,0,162,Drog__PGT-105046,PGT-105046,PGT-105046,1,,,,Drog__PGT-105046
Phylos 2018,SRP173788,SAMN10609032,SRS4167911,SRR8347221,GENOMIC,PAIRED,0,165,CPK__PGT-105047,PGT-105047,PGT-105047,1,,Cherry Pie Kush,https://www.leafly.com/hybrid/cherry-pie-kush,Cherry Pie Kush
Phylos 2018,SRP173788,SAMN10609033,SRS4167915,SRR8347216,GENOMIC,PAIRED,0,122,Cherry_Kush__PGT-105048,PGT-105048,PGT-105048,1,,Cherry Kush,https://www.leafly.com/hybrid/cherry-kush,Cherry Kush
Phylos 2018,SRP173788,SAMN10609034,SRS4167882,SRR8347250,GENOMIC,PAIRED,0,153,SFVOG__PGT-105049,PGT-105049,PGT-105049,1,,SFV OG,https://www.leafly.com/hybrid/sfv-og,SFV OG
Phylos 2018,SRP173788,SAMN10609035,SRS4167914,SRR8347218,GENOMIC,PAIRED,0,132,Volcano__PGT-105050,PGT-105050,PGT-105050,1,,Volcano,https://cannasos.com/strains/indica/volcano,Volcano__PGT-105050
Phylos 2018,SRP173788,SAMN10609036,SRS4167917,SRR8347217,GENOMIC,PAIRED,0,143,L2__PGT-105051,PGT-105051,PGT-105051,1,,,,L2__PGT-105051
Phylos 2018,SRP173788,SAMN10609037,SRS4167920,SRR8347214,GENOMIC,PAIRED,0,154,H.S.C._Trainwreck_Seedling__PGT-105052,PGT-105052,PGT-105052,1,,Trainwreck,https://www.leafly.com/hybrid/trainwreck,Trainwreck
Phylos 2018,SRP173788,SAMN10609038,SRS4167919,SRR8347213,GENOMIC,PAIRED,0,165,FarNorCal_Farms_Purple_Kush__PGT-105053,PGT-105053,PGT-105053,1,,Purple Kush,https://www.leafly.com/indica/purple-kush,Purple Kush
Phylos 2018,SRP173788,SAMN10609039,SRS4168005,SRR8347127,GENOMIC,PAIRED,0,167,Don_Carlos__PGT-105054,PGT-105054,PGT-105054,1,,Don Carlos ,https://cannasos.com/strains/hybrid/don-carlos,Don Carlos 
Phylos 2018,SRP173788,SAMN10609040,SRS4168004,SRR8347128,GENOMIC,PAIRED,0,179,Girl_Scout_Cookies.__PGT-105055,PGT-105055,PGT-105055,1,,GSC,https://www.leafly.com/hybrid/gsc,GSC
Phylos 2018,SRP173788,SAMN10609041,SRS4168003,SRR8347129,GENOMIC,PAIRED,0,117,CBD_Critical_Mass__PGT-105056,PGT-105056,PGT-105056,1,,CBD Critical Mass,https://www.leafly.com/indica/cbd-critical-mass,CBD Critical Mass
Phylos 2018,SRP173788,SAMN10609042,SRS4168002,SRR8347130,GENOMIC,PAIRED,0,143,Jack_Herer__PGT-105057,PGT-105057,PGT-105057,1,,Jack Herer,https://www.leafly.com/sativa/jack-herer,Jack Herer
Phylos 2018,SRP173788,SAMN10609043,SRS4168008,SRR8347123,GENOMIC,PAIRED,0,130,Zkittlez__PGT-108256,PGT-108256,PGT-108256,1,,Zkittlez,https://www.leafly.com/indica/zkittlez,Zkittlez
Phylos 2018,SRP173788,SAMN10609044,SRS4168009,SRR8347124,GENOMIC,PAIRED,0,100,Sunset_Sherbert__PGT-108257,PGT-108257,PGT-108257,1,,Sherbert,https://www.leafly.com/hybrid/sunset-sherbert,Sherbert
Phylos 2018,SRP173788,SAMN10609045,SRS4167496,SRR8347049,GENOMIC,PAIRED,0,153,Temple_Bud__PGT-108258,PGT-108258,PGT-108258,1,,,,Temple_Bud__PGT-108258
Phylos 2018,SRP173788,SAMN10609046,SRS4168006,SRR8347126,GENOMIC,PAIRED,0,78,Golden_Kush__PGT-108259,PGT-108259,PGT-108259,1,,Golden Kush,https://cannasos.com/strains/hybrid/golden-kush,Golden Kush
Phylos 2018,SRP173788,SAMN10609047,SRS4168000,SRR8347132,GENOMIC,PAIRED,0,155,Gorilla_Snacks_4__PGT-108260,PGT-108260,PGT-108260,1,,Gorilla Snacks,https://www.leafly.com/hybrid/gorilla-snacks,Gorilla Snacks
Phylos 2018,SRP173788,SAMN10609048,SRS4167999,SRR8347133,GENOMIC,PAIRED,0,193,Head_Dog_7__PGT-108261,PGT-108261,PGT-108261,1,,,,Head_Dog_7__PGT-108261
Phylos 2018,SRP173788,SAMN10609049,SRS4167738,SRR8346806,GENOMIC,PAIRED,0,164,Scooby_Snacks__PGT-108262,PGT-108262,PGT-108262,1,,Scooby Snacks,https://www.leafly.com/hybrid/scooby-snack,Scooby_Snacks__PGT-108262
Phylos 2018,SRP173788,SAMN10609050,SRS4167740,SRR8346805,GENOMIC,PAIRED,0,113,SB6__PGT-108263,PGT-108263,PGT-108263,1,,,,SB6__PGT-108263
Phylos 2018,SRP173788,SAMN10609051,SRS4167741,SRR8346804,GENOMIC,PAIRED,0,146,BBB_3__PGT-108264,PGT-108264,PGT-108264,1,,,,BBB_3__PGT-108264
Phylos 2018,SRP173788,SAMN10609052,SRS4167742,SRR8346803,GENOMIC,PAIRED,0,137,SR4__PGT-108265,PGT-108265,PGT-108265,1,,,,SR4__PGT-108265
Phylos 2018,SRP173788,SAMN10609053,SRS4167735,SRR8346810,GENOMIC,PAIRED,0,177,707__PGT-108266,PGT-108266,PGT-108266,1,,707 Headband,https://www.leafly.com/hybrid/707-headband,707__PGT-108266
Phylos 2018,SRP173788,SAMN10609054,SRS4167736,SRR8346809,GENOMIC,PAIRED,0,146,Chernobyl__PGT-108267,PGT-108267,PGT-108267,1,,Chernobyl,https://www.leafly.com/hybrid/chernobyl,Chernobyl
Phylos 2018,SRP173788,SAMN10609055,SRS4167737,SRR8346808,GENOMIC,PAIRED,0,100,PW5__PGT-108268,PGT-108268,PGT-108268,1,,,,PW5__PGT-108268
Phylos 2018,SRP173788,SAMN10609056,SRS4167739,SRR8346807,GENOMIC,PAIRED,0,241,God_1__PGT-108269,PGT-108269,PGT-108269,1,,,,God_1__PGT-108269
Phylos 2018,SRP173788,SAMN10609057,SRS4167732,SRR8346813,GENOMIC,PAIRED,0,156,Blueberry__PGT-108270,PGT-108270,PGT-108270,1,,Blueberry,https://www.leafly.com/indica/blueberry,Blueberry
Phylos 2018,SRP173788,SAMN10609058,SRS4167733,SRR8346812,GENOMIC,PAIRED,0,118,NYCD__PGT-108271,PGT-108271,PGT-108271,1,,NYC Diesel,https://www.leafly.com/hybrid/nyc-diesel,NYC Diesel
Phylos 2018,SRP173788,SAMN10609059,SRS4167760,SRR8346785,GENOMIC,PAIRED,0,172,Santa_Cruz_Haze__PGT-108272,PGT-108272,PGT-108272,1,,Haze,https://www.leafly.com/sativa/haze,Santa_Cruz_Haze__PGT-108272
Phylos 2018,SRP173788,SAMN10609060,SRS4167396,SRR8346476,GENOMIC,PAIRED,0,145,Blueberry_x_Northern_Lights__PGT-108273,PGT-108273,PGT-108273,1,,-,-,-
Phylos 2018,SRP173788,SAMN10609061,SRS4167400,SRR8346473,GENOMIC,PAIRED,0,107,Rascal_OG__PGT-108274,PGT-108274,PGT-108274,1,,Raskal OG,https://www.leafly.com/hybrid/raskal-og,Rascal_OG__PGT-108274
